"","URL","Rate","NameResort","Stars","Km.Freeride","Continent","Country","State.Province","Altitude","Easy","Intermediate","Difficult","Adult","Currency","Ski.resort.size","Slope.offering..variety.of.runs.","Lifts.and.cable.cars","Snow.reliability","Access..on.site.parking.","Orientation..trail.map..information.boards..sign.postings..","Cleanliness.and.hygiene","Environmentally.friendly.ski.operation","Mountain.restaurants..ski.huts..gastronomy.","Après.ski","Accommodation.offering.directly.at.the.slopes.and.lifts","Families.and.children","Beginners","Snow.parks","Cross.country.skiing.and.trails","country","latitude","longitude","Total.Kms"
"1","http://www.skiresort.info/ski-resort/kitzski-kitzbuehelkirchberg/",4.9,"KitzSki – Kitzbühel/Kirchberg",5,45,"Europe","Austria","Tyrol (Tirol)",2000,101,61,17,"55","European Euro","5,0",5,"5,0",5,"4,0","5,0","5,0","4,0","5,0","4,0","5,0","5,0","5,0","5,0","5,0","AT",47.516231,14.550072,179
"2","http://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/",4.8,"Ischgl/Samnaun – Silvretta Arena",5,15,"Europe","Austria","Tyrol (Tirol)",2872,47,142,49,"53","European Euro","5,0",5,"5,0",5,"4,0","5,0","5,0","4,0","5,0","5,0","5,0","4,0","4,0","5,0","4,0","AT",47.516231,14.550072,238
"3","http://www.skiresort.info/ski-resort/skiwelt-wilder-kaiser-brixental/",4.8,"SkiWelt Wilder Kaiser-Brixental",5,26,"Europe","Austria","Tyrol (Tirol)",1957,122,129,33,"49","European Euro","5,0",5,"5,0",4,"5,0","4,0","5,0","5,0","5,0","4,0","4,0","5,0","5,0","5,0","5,0","AT",47.516231,14.550072,284
"4","http://www.skiresort.info/ski-resort/st-antonst-christophstubenlechzuerswarthschroecken-ski-arlberg/",4.8,"Ski Arlberg",5,200,"Europe","Austria","Tyrol (Tirol)",2811,132,123,50,"53","European Euro","5,0",5,"5,0",5,"4,0","4,0","4,0","4,0","5,0","5,0","5,0","5,0","5,0","4,0","4,0","AT",47.516231,14.550072,305
"5","http://www.skiresort.info/ski-resort/serfaus-fiss-ladis/",4.8,"Serfaus-Fiss-Ladis",5,28,"Europe","Austria","Tyrol (Tirol)",2820,47,123,28,"51","European Euro","5,0",5,"5,0",5,"4,0","5,0","4,0","4,0","5,0","4,0","4,0","5,0","4,0","5,0","4,0","AT",47.516231,14.550072,198
"6","http://www.skiresort.info/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/",4.7,"Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus)",5,0,"Europe","Austria","Salzburg (Salzburger Land)",2096,140,112,18,"53","European Euro","5,0",5,"5,0",4,"3,0","5,0","5,0","4,0","5,0","5,0","5,0","5,0","5,0","5,0","4,0","AT",47.516231,14.550072,270
"7","http://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/",4.7,"Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal)",5,3.6,"Europe","Austria","Tyrol (Tirol)",2378,28.7,41.3,13,"52,50","European Euro","4,0",5,"5,0",5,"5,0","5,0","5,0","4,0","5,0","4,0","5,0","5,0","5,0","4,0","3,0","AT",47.516231,14.550072,83
"8","http://www.skiresort.info/ski-resort/zillertal-arena-zell-am-zillergerloskoenigsleitenhochkrimml/",4.7,"Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml",5,3,"Europe","Austria","Tyrol (Tirol)",2500,43,89,11,"52","European Euro","5,0",5,"5,0",5,"4,0","4,0","5,0","4,0","5,0","4,0","5,0","5,0","4,0","5,0","4,0","AT",47.516231,14.550072,143
"9","http://www.skiresort.info/ski-resort/schladming-planaihochwurzenhauser-kaiblingreiteralm-4-berge-skischaukel/",4.7," Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel)",4,4,"Europe","Austria","Styria (Steiermark)",2015,46.4,68.3,8.3,"51,50","European Euro","5,0",5,"5,0",5,"4,0","4,0","5,0","4,0","5,0","5,0","5,0","5,0","3,0","5,0","4,0","AT",47.516231,14.550072,122
"10","http://www.skiresort.info/ski-resort/soelden/",4.7,"Sölden",5,0,"Europe","Austria","Tyrol (Tirol)",3340,70.2,44.6,29.4,"53","European Euro","5,0",5,"5,0",5,"4,0","5,0","5,0","4,0","5,0","5,0","5,0","4,0","4,0","4,0","3,0","AT",47.516231,14.550072,144
"11","http://www.skiresort.info/ski-resort/silvretta-montafon/",4.6,"Silvretta Montafon",5,23,"Europe","Austria","Vorarlberg",2430,60,45,8,"52,50","European Euro","5,0",5,"4,0",5,"4,0","5,0","4,0","4,0","5,0","4,0","3,0","5,0","4,0","5,0","3,0","AT",47.516231,14.550072,113
