WOJEWÓDZTWO;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ
DOLNOŒL¥SKIE;9031;8919;11808;9774;10455;10919;10435;10725;10843;11925;;
KUJAWSKO-POMORSKIE;5597;5576;7382;6224;6650;6633;6390;6445;6361;7025;;
LUBELSKIE;6031;6029;7658;6589;6957;7054;6796;6929;6810;7508;;
LUBUSKIE;3488;3483;4699;3934;4259;4261;4193;4310;4125;4489;;
£ÓDZKIE;6883;7202;9296;7894;8263;8233;8097;8097;8091;8474;;
MA£OPOLSKIE;10564;10771;14618;11630;12847;13155;12336;12161;12453;13625;;
MAZOWIECKIE;25197;26259;34902;27727;31062;31110;29329;29367;29214;31394;;
OPOLSKIE;2500;2675;3504;2884;3098;3297;3006;3190;3003;3279;;
PODKARPACKIE;6035;6068;7674;6331;6980;7309;7014;7372;6762;7456;;
PODLASKIE;3249;3393;4248;3541;3865;3944;3910;3831;3737;3972;;
POMORSKIE;6945;7330;9250;8006;8476;8785;8602;8567;8390;8750;;
ŒL¥SKIE;11800;12630;16196;13285;14024;14429;13308;13975;14093;14932;;
ŒWIÊTOKRZYSKIE;3746;3628;4577;4011;4481;4319;4318;4592;4235;4836;;
WARMIÑSKO-MAZURSKIE;3189;3236;4225;3790;4007;4062;3987;4059;3895;4021;;
WIELKOPOLSKIE;15082;15603;20445;16920;17883;18536;16917;17995;17547;18670;;
ZACHODNIOPOMORSKIE;4273;4200;5400;4599;4989;5294;5066;4983;4934;5320;;
